Entry	Entry name	Protein names	Length	Organism	Proteomes	Protein families	DNA binding	Metal binding	Pathway	pH dependence	Temperature dependence	Features	Subcellular location [CC]	Intramembrane	Topological domain	Transmembrane
Q12145	CMR3_YEAST	Zinc finger protein CRM3 (Changed mutation rate protein 3)	317	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XVI							Chain (1); Zinc finger (2)	SUBCELLULAR LOCATION: Nucleus {ECO:0000305|PubMed:18366603}.			
P41735	COQ7_YEAST	5-demethoxyubiquinone hydroxylase, mitochondrial (DMQ hydroxylase) (EC 1.14.99.60) (Catabolite repression protein 5) (Ubiquinone biosynthesis monooxygenase COQ7)	233	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV	COQ7 family		METAL 63;  /note="Iron 1";  /evidence="ECO:0000255|HAMAP-Rule:MF_03194"; METAL 95;  /note="Iron 1";  /evidence="ECO:0000255|HAMAP-Rule:MF_03194"; METAL 95;  /note="Iron 2";  /evidence="ECO:0000255|HAMAP-Rule:MF_03194"; METAL 98;  /note="Iron 1";  /evidence="ECO:0000255|HAMAP-Rule:MF_03194"; METAL 147;  /note="Iron 2";  /evidence="ECO:0000255|HAMAP-Rule:MF_03194"; METAL 194;  /note="Iron 1";  /evidence="ECO:0000255|HAMAP-Rule:MF_03194"; METAL 194;  /note="Iron 2";  /evidence="ECO:0000255|HAMAP-Rule:MF_03194"; METAL 197;  /note="Iron 2";  /evidence="ECO:0000255|HAMAP-Rule:MF_03194"	PATHWAY: Cofactor biosynthesis; ubiquinone biosynthesis. {ECO:0000255|HAMAP-Rule:MF_03194, ECO:0000305|PubMed:8621692}.			Chain (1); Metal binding (8); Modified residue (3); Mutagenesis (4); Transit peptide (1)	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000255|HAMAP-Rule:MF_03194, ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:24406904, ECO:0000269|PubMed:9452453}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_03194, ECO:0000269|PubMed:24406904}; Matrix side {ECO:0000255|HAMAP-Rule:MF_03194, ECO:0000269|PubMed:24406904}.			
P33307	CSE1_YEAST	Importin alpha re-exporter (Chromosome segregation protein CSE1)	960	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VII	XPO2/CSE1 family						Beta strand (5); Chain (1); Domain (1); Helix (66); Motif (1); Repeat (20); Sequence conflict (1); Turn (7)	SUBCELLULAR LOCATION: Cytoplasm. Nucleus.			
Q07560	CRD1_YEAST	Cardiolipin synthase (CMP-forming) (CLS) (EC 2.7.8.41)	283	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV	CDP-alcohol phosphatidyltransferase class-I family				BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 9. {ECO:0000269|PubMed:2171667};	BIOPHYSICOCHEMICAL PROPERTIES:  Temperature dependence: Optimum temperature is 45 degrees Celsius. {ECO:0000269|PubMed:2171667};	Chain (1); Transmembrane (3)	SUBCELLULAR LOCATION: Mitochondrion inner membrane; Multi-pass membrane protein.			TRANSMEM 83..103;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 155..175;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 209..229;  /note="Helical";  /evidence="ECO:0000255"
P00425	COX5B_YEAST	Cytochrome c oxidase subunit 5B, mitochondrial (Cytochrome c oxidase polypeptide Vb)	151	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IX	Cytochrome c oxidase IV family			PATHWAY: Energy metabolism; oxidative phosphorylation.			Chain (1); Topological domain (2); Transit peptide (1); Transmembrane (1)	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:2986105}; Single-pass membrane protein {ECO:0000250|UniProtKB:P00424}.		TOPO_DOM 18..85;  /note="Mitochondrial matrix";  /evidence="ECO:0000250|UniProtKB:P00424"; TOPO_DOM 109..151;  /note="Mitochondrial intermembrane";  /evidence="ECO:0000250|UniProtKB:P00424"	TRANSMEM 86..108;  /note="Helical";  /evidence="ECO:0000250|UniProtKB:P00424"
Q02895	AAD16_YEAST	Putative aryl-alcohol dehydrogenase AAD16 (EC 1.1.1.-)	342	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XVI	Aldo/keto reductase family, Aldo/keto reductase 2 subfamily						Chain (1)				
Q07716	AIM6_YEAST	Altered inheritance of mitochondria protein 6	390	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV	AIM6 family						Chain (1); Sequence conflict (1); Signal peptide (1)				
P40074	AVT6_YEAST	Vacuolar amino acid transporter 6	448	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome V	Amino acid/polyamine transporter 2 family						Chain (1); Modified residue (1); Topological domain (12); Transmembrane (11)	SUBCELLULAR LOCATION: Vacuole membrane {ECO:0000269|PubMed:11274162}; Multi-pass membrane protein {ECO:0000269|PubMed:11274162}.		TOPO_DOM 1..7;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 29..32;  /note="Vacuolar";  /evidence="ECO:0000255"; TOPO_DOM 54..80;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 102..125;  /note="Vacuolar";  /evidence="ECO:0000255"; TOPO_DOM 147..150;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 172..195;  /note="Vacuolar";  /evidence="ECO:0000255"; TOPO_DOM 217..229;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 251..267;  /note="Vacuolar";  /evidence="ECO:0000255"; TOPO_DOM 289..357;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 379..381;  /note="Vacuolar";  /evidence="ECO:0000255"; TOPO_DOM 403..424;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 446..448;  /note="Vacuolar";  /evidence="ECO:0000255"	TRANSMEM 8..28;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 33..53;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 81..101;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 126..146;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 151..171;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 196..216;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 230..250;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 268..288;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 358..378;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 382..402;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 425..445;  /note="Helical";  /evidence="ECO:0000255"
P07251	ATPA_YEAST	ATP synthase subunit alpha, mitochondrial	545	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome II	ATPase alpha/beta chains family						Beta strand (22); Chain (1); Helix (22); Modified residue (2); Mutagenesis (2); Nucleotide binding (1); Sequence conflict (8); Site (1); Transit peptide (1); Turn (6)	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:11502169}. Note=Peripheral membrane protein.			
P47040	BTN1_YEAST	Protein BTN1	408	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome X	Battenin family						Chain (1); Natural variant (2); Sequence conflict (1); Signal peptide (1); Transmembrane (7)	SUBCELLULAR LOCATION: Vacuole membrane {ECO:0000269|PubMed:10319861, ECO:0000269|PubMed:9753630}; Multi-pass membrane protein {ECO:0000269|PubMed:10319861, ECO:0000269|PubMed:9753630}.			TRANSMEM 42..62;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 80..100;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 128..148;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 150..170;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 238..258;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 323..343;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 369..389;  /note="Helical";  /evidence="ECO:0000255"
P53323	BUD32_YEAST	EKC/KEOPS complex subunit BUD32 (EC 3.6.-.-) (Atypical serine/threonine protein kinase BUD32) (EC 2.7.11.1) (Bud site selection protein 32) (Low-dye-binding protein 14) (piD261)	261	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VII	Protein kinase superfamily, BUD32 family						Active site (1); Beta strand (9); Binding site (1); Chain (1); Domain (1); Helix (8); Modified residue (2); Mutagenesis (2); Nucleotide binding (1); Turn (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}. Chromosome, telomere {ECO:0000269|PubMed:14562095}.			
Q01532	BLH1_YEAST	Cysteine proteinase 1, mitochondrial (EC 3.4.22.40) (Bleomycin hydrolase) (BLM hydrolase) (Homocysteine-thiolactonase) (HTLase) (Hcy-thiolactonase) (Leucine aminopeptidase 3) (Y3)	483	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIV	Peptidase C1 family				BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 7.5. {ECO:0000269|PubMed:1400467, ECO:0000269|PubMed:8063738, ECO:0000269|PubMed:8463237};		Active site (3); Alternative sequence (1); Beta strand (14); Chain (1); Helix (20); Mutagenesis (4); Propeptide (1); Sequence conflict (1); Transit peptide (1); Turn (5)	SUBCELLULAR LOCATION: [Isoform Cytoplasmic]: Cytoplasm.; SUBCELLULAR LOCATION: [Isoform Mitochondrial]: Mitochondrion.			
Q12365	BBP1_YEAST	Spindle pole component BBP1 (BFR1-binding protein 1)	385	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XVI	BBP1 family						Chain (1); Coiled coil (1); Modified residue (3)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, spindle pole body {ECO:0000269|PubMed:10654940, ECO:0000269|PubMed:14767068}. Note=Associates with the periphary of the central plaque.			
P53194	BRP1_YEAST	Uncharacterized protein BRP1	125	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VII							Chain (1)				
P32562	CDC5_YEAST	Cell cycle serine/threonine-protein kinase CDC5/MSD2 (EC 2.7.11.21)	705	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIII	Protein kinase superfamily, Ser/Thr protein kinase family, CDC5/Polo subfamily						Active site (1); Binding site (1); Chain (1); Domain (3); Modified residue (2); Nucleotide binding (1)				
P29465	CHS3_YEAST	Chitin synthase 3 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 3) (Class-IV chitin synthase 3)	1165	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome II	Chitin synthase family, Class IV subfamily						Chain (1); Cross-link (1); Glycosylation (7); Helix (1); Modified residue (2); Mutagenesis (5); Sequence conflict (1); Topological domain (8); Transmembrane (7)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12928491, ECO:0000269|PubMed:17519287}; Multi-pass membrane protein {ECO:0000255}. Bud neck {ECO:0000269|PubMed:16818716, ECO:0000269|PubMed:8909536}. Cytoplasmic vesicle membrane {ECO:0000269|PubMed:12928491, ECO:0000269|PubMed:8970154}; Multi-pass membrane protein {ECO:0000255}. Note=Localizes to a ring on the surface of cells about to undergo bud emergence and in the mother-bud neck of small-budded cells (PubMed:8909536). Delocalized throughout the plasma membrane during heat shock (PubMed:12928491). Also localizes to intracellular membrane-bound particles called chitosomes, proposed to act as a reservoir for regulated transport of chitin synthase enzymes to the division septum (PubMed:8970154, PubMed:12928491). {ECO:0000269|PubMed:12928491, ECO:0000269|PubMed:8909536, ECO:0000269|PubMed:8970154}.		TOPO_DOM 1..170;  /note="Extracellular";  /evidence="ECO:0000305|PubMed:16847258"; TOPO_DOM 192..202;  /note="Cytoplasmic";  /evidence="ECO:0000305|PubMed:16847258"; TOPO_DOM 224..452;  /note="Extracellular";  /evidence="ECO:0000305|PubMed:16847258"; TOPO_DOM 474..1006;  /note="Cytoplasmic";  /evidence="ECO:0000305|PubMed:16847258"; TOPO_DOM 1028..1029;  /note="Extracellular";  /evidence="ECO:0000305|PubMed:16847258"; TOPO_DOM 1051..1055;  /note="Cytoplasmic";  /evidence="ECO:0000305|PubMed:16847258"; TOPO_DOM 1077..1080;  /note="Extracellular";  /evidence="ECO:0000305|PubMed:16847258"; TOPO_DOM 1102..1165;  /note="Cytoplasmic";  /evidence="ECO:0000269|PubMed:16847258"	TRANSMEM 171..191;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 203..223;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 453..473;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 1007..1027;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 1030..1050;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 1056..1076;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 1081..1101;  /note="Helical";  /evidence="ECO:0000255"
P14180	CHS2_YEAST	Chitin synthase 2 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 2)	963	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome II	Chitin synthase family						Chain (1); Glycosylation (3); Modified residue (6); Mutagenesis (49); Topological domain (8); Transmembrane (7)	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.		TOPO_DOM 1..643;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 665..677;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 699..711;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 733..743;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 765..775;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 797..875;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 897..905;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 927..963;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 644..664;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 678..698;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 712..732;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 744..764;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 776..796;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 876..896;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 906..926;  /note="Helical";  /evidence="ECO:0000255"
P53865	CNM67_YEAST	Chaotic nuclear migration protein 67	581	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIV							Chain (1); Coiled coil (3); Helix (11); Modified residue (6)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, spindle pole body {ECO:0000269|PubMed:9571234}. Note=Localizes to the meiotic outer plaque of the SPB, at the end of the meiotic spindles.			
P38903	2A5D_YEAST	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform (PP2A, B subunit, B' delta isoform) (Protein RTS1) (Protein SCS1)	757	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV	Phosphatase 2A regulatory subunit B family						Chain (1); Compositional bias (5); Modified residue (2); Sequence conflict (3)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:7565713}. Nucleus {ECO:0000269|PubMed:7565713}.			
Q00362	2ABA_YEAST	Protein phosphatase PP2A regulatory subunit B (Cell division control protein 55) (PR55)	526	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VII	Phosphatase 2A regulatory subunit B family						Chain (1); Compositional bias (1); Modified residue (1); Repeat (7); Sequence conflict (1)				
P38285	AMN1_YEAST	Antagonist of mitotic exit network protein 1 (Chromosome stability protein 13) (Increased copper-sensitivity protein 4)	549	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome II	AMN1 family						Chain (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12628189}. Nucleus {ECO:0000269|PubMed:12628189, ECO:0000269|PubMed:14562095}.			
P52893	ALAM_YEAST	Probable alanine aminotransferase, mitochondrial (EC 2.6.1.2) (Glutamate pyruvate transaminase) (GPT) (Glutamic--alanine transaminase) (Glutamic--pyruvic transaminase)	592	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XII	Class-I pyridoxal-phosphate-dependent aminotransferase family, Alanine aminotransferase subfamily			PATHWAY: Amino-acid degradation; L-alanine degradation via transaminase pathway; pyruvate from L-alanine: step 1/1.			Chain (1); Modified residue (2); Transit peptide (1)	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:11502169}.			
Q08702	APTX_YEAST	Aprataxin-like protein (EC 3.6.1.71) (EC 3.6.1.72) (Hit family protein 3)	217	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV			METAL 188;  /note="Zinc";  /evidence="ECO:0000250|UniProtKB:O74859"; METAL 191;  /note="Zinc";  /evidence="ECO:0000250|UniProtKB:O74859"; METAL 205;  /note="Zinc; via tele nitrogen";  /evidence="ECO:0000250|UniProtKB:O74859"; METAL 209;  /note="Zinc";  /evidence="ECO:0000250|UniProtKB:O74859"				Active site (1); Chain (1); Domain (1); Metal binding (4); Region (3); Sequence conflict (2); Site (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095}. Cytoplasm {ECO:0000269|PubMed:14562095}.			
P54074	ASI1_YEAST	Protein ASI1 (Amino acid sensor-independent protein 1)	624	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIII							Chain (1); Glycosylation (3); Mutagenesis (2); Topological domain (6); Transmembrane (5); Zinc finger (1)	SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16735580, ECO:0000269|PubMed:17085444}; Multi-pass membrane protein {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16735580, ECO:0000269|PubMed:17085444}.		TOPO_DOM 1..69;  /note="Perinuclear space";  /evidence="ECO:0000255"; TOPO_DOM 91..116;  /note="Nuclear";  /evidence="ECO:0000255"; TOPO_DOM 138..152;  /note="Perinuclear space";  /evidence="ECO:0000255"; TOPO_DOM 174..209;  /note="Nuclear";  /evidence="ECO:0000255"; TOPO_DOM 231..273;  /note="Perinuclear space";  /evidence="ECO:0000255"; TOPO_DOM 295..624;  /note="Nuclear";  /evidence="ECO:0000255"	TRANSMEM 70..90;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 117..137;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 153..173;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 210..230;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 274..294;  /note="Helical";  /evidence="ECO:0000255"
P40024	ARB1_YEAST	ABC transporter ATP-binding protein ARB1 (ATP-binding cassette protein involved in ribosome biogenesis 1)	610	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome V	ABC transporter superfamily, ABCF family, EF3 subfamily						Chain (1); Domain (2); Modified residue (4); Nucleotide binding (2)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16260602}. Nucleus {ECO:0000269|PubMed:16260602}. Note=Shuttles between the cytoplasm and the nucleus.			
P38346	BIT2_YEAST	Probable target of rapamycin complex 2 subunit BIT2 (TORC2 subunit BIT2) (Binding partner of TOR2 protein 2)	545	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome II							Chain (1); Sequence conflict (1)				
P53958	BOP3_YEAST	Protein BOP3 (Bypass of PAM1 protein 3)	396	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIV							Chain (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.			
Q06150	BOP2_YEAST	Protein BOP2 (Bypass of PAM1 protein 2)	570	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XII							Chain (1); Modified residue (1)				
P53615	CAN_YEAST	Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase) (Non-classical export protein 3)	221	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIV	Beta-class carbonic anhydrase family		METAL 57;  /note="Zinc";  /evidence="ECO:0000244|PDB:3EYX, ECO:0000269|PubMed:19852838"; METAL 59;  /note="Zinc";  /evidence="ECO:0000250|UniProtKB:P61517"; METAL 112;  /note="Zinc; via tele nitrogen";  /evidence="ECO:0000244|PDB:3EYX, ECO:0000269|PubMed:19852838"; METAL 115;  /note="Zinc";  /evidence="ECO:0000244|PDB:3EYX, ECO:0000269|PubMed:19852838"				Beta strand (6); Chain (1); Helix (13); Metal binding (4); Sequence conflict (1); Turn (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}. Mitochondrion intermembrane space {ECO:0000269|PubMed:22984289}.			
P06115	CATT_YEAST	Catalase T (EC 1.11.1.6)	562	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VII	Catalase family		METAL 351;  /note="Iron (heme axial ligand)";  /evidence="ECO:0000250"				Active site (2); Chain (1); Erroneous initiation (2); Metal binding (1); Sequence conflict (2)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}.			
P32943	CGS6_YEAST	S-phase entry cyclin-6	380	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VII	Cyclin family, Cyclin AB subfamily						Chain (1); Sequence conflict (4)				
P25694	CDC48_YEAST	Cell division control protein 48 (EC 3.6.4.6) (Cell division cycle protein 48) (Transitional endoplasmic reticulum ATPase homolog)	835	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV	AAA ATPase family						Binding site (2); Chain (1); Cross-link (7); Modified residue (4); Mutagenesis (14); Nucleotide binding (2)	SUBCELLULAR LOCATION: Microsome {ECO:0000269|PubMed:11733065}. Endoplasmic reticulum {ECO:0000269|PubMed:21148305}. Cytoplasm {ECO:0000269|PubMed:21148305}. Note=Bound loosely to components of the microsomal fraction. {ECO:0000269|PubMed:11733065}.			
Q06139	CIS1_YEAST	Citrinin resistance protein, mitochondrial (Citrinin sensitive knockout protein 1)	101	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XII							Chain (1)	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:14562095}.			
